Family,Species,Tb,Tb err,Tb (N),Ref,Tb err type,Notes,,
Phrynosomatidae,Uta palmeri,38,,,Ferguson 1971,,,,
Phrynosomatidae,Uta stansburiana,35.3,,,Within Huey et al. 2009; Waldschmidt_&_Tracy_1983,,,,
Varanidae,Varanus brevicauda,35.4,,,Sinervo et al 2010,,,,
Varanidae,Varanus eremius,37.5,,53,Pianka and Pianka 1970; Pianka 1982,,,,
Varanidae,Varanus tristis,34.8,,38,Pianka 1982,,,,
Scincidae,Varzea bistriata,32.9,,11,diele-vargas et al. 2018,,,,
Viperidae,Vipera berus,29.67,3.73,20,Herczeg et al. 2007,SD,,,
Xantusiidae,Xantusia arizonae,25.3,,12,Brattstrom 1965,,,,
Xantusiidae,Xantusia henshawi,20.5,,5,Mautz & Case 1974; Brattstrom 1965,,,,
,Xantusia riversiana,24.4,,,Mautz et al. 1992; within Huey et al. 2009 and Sunday et al. 2011 (can't find in Sunday),,,,
Xanusiidae,Xantusia vigilis,33.8,,,within Sunday 2011 (not found in Sunday); Huey et al. 2009; van Berkum 1988,,,,
Lacertidae,Zootoca vivipara,30.2,,,Gvozdik&Castilla 2001; Hertz et al. 1983; Bauwens et al. 1995; also Huey et al. 2009,,,,
Teiidae,Ameiva bifrontata,39.4,,,Brattstrom 1965 (could not find Tb); Bogert 1949 (could not find Tb); ****Schall 1977- make sure no values from here**** [ confirmed no values here] ; Bostic1966 (couldn't find Tb); Paulissen 1988 (Tb not found); Witz 2001 (noTb),,,,
Amphisbaenidae,Amphisbaena mertensii,23.6,2.6,16,Abe 1984,,,,
Anguidae,Anguis fragilis,22.6,,,"Gregory 1980, Meek 2005",,,,
Anguidae,Anniella pulchra,22.3,,,"brattstrom 1965 (Tb 21.0øC, N=29) , Bury and Balgooyen 1976 (found Tb 23.6 ñ3.1 SD, N = 96)",,,,
Dactyloidae,Anolis aliniger,,,,"B. Bodensteiner et al., unpubl. data",,,,
Dactyloidae,Anolis allogus,29.15,,148,Brattstrom 1965; Salazar et al. 2019 (Ruibal 1961),,,,
Dactyloidae,Anolis alutaceus,28.3,,1,Salazar et al. 2019 (Rodr¡guez-Schettino et al. 2010),,,,
Dactyloidae,Anolis angusticeps,29.2,,3,Rodr¡guez-Schettino et al. 2010; Salazar et al. 2019 (Rodr¡guez-Schettino et al. 2010),,,,
Dactyloidae,Anolis armouri,28.9,2.4,68,Tsel + Tb (Munoz and Losos 2018); CTmin + CTmax (Munoz et al. 2014),SD,,,
Dactyloidae,Anolis chrysolepis,27.9,,,"diele-vargas et al. 2018, Vitt and Zani 2005; Salazar et al. 2019 (Diele-Viegas et al. 2018)",,,,
Dactyloidae,Anolis cupreus,29.57,,188,"van Berkum (1986): Ctmin, Ctmax; in van Berkum, listed J. Tsuji unpublished data for Tb, median = 30.6, N = 57; Salazar et al. 2019 for Tb (van Berkum 1986; van Berkum 1988)",,,,
Dactyloidae,Anolis cybotes,30.1,3,187,"Munoz & Losos 2018: Tsel, Tb; Munoz et al. 2014: Ctmin, CTmax; Salazar et al. 2019 (Hertz and Huey 1981; Cast et al. 2000; Mu¤oz et al. 2014; Conover et al. 2015 )",SD,,,
Dactyloidae,Anolis distichus,27.1,,18,Corn 1971; Salazar et al. 2019 (Lister 1976; Cast et al. 2000),,,,
Dactyloidae,Anolis frenatus,29.7,,,Ballinger et al 1970,,,,
Dactyloidae,Anolis fuscoauratus,28.6,,86,"diele-vargas et al. 2018, Vitt et al. 2003",,,,
Dactyloidae,Anolis jubar,32.4,,1,,,,,
Dactyloidae,Anolis krugi,28.6,,1,Hertz 1979,,,,
Dactyloidae,Anolis laeviventris,25.43,,317,"van Berkum (1986): Ctmin, Ctmax [listed as A. intermedius/Anolis intermedius]",,,,
Dactyloidae,Anolis lemurinus,26.6,,6,"van Berkum (1986): Ctmin, Ctmax",,,,
Dactyloidae,Anolis limifrons,26.36,,87,"van Berkum (1986): Ctmin, CTmax",,,,
Dactyloidae,Anolis limon,NA,,NA,,,,,
Dactyloidae,Anolis lineatopus,28.3,,101,,,,,
Dactyloidae,Anolis lionotus,26.1,,31,"van Berkum (1986): Ctmin, Ctmax",,,,
Dactyloidae,Anolis longiceps,32.2,,18,,,,,
Dactyloidae,Anolis lucius,29.25,,93,,,,,
Dactyloidae,Anolis marmoratus,29.75,,638,,,,,
Dactyloidae,Anolis mestrei,27.7,,1,,,,,
Dactyloidae,Anolis monensis,31.29,,245,,,,,
Dactyloidae,Anolis nebulosus,30.01,,3074,,,,,
Dactyloidae,Anolis nigrolineatus,29.9,,5,,,,,
Dactyloidae,Anolis olssoni,33.2,,40,Hertz 1979,,,,
Dactyloidae,Anolis opalinus,28.1,,,,,,,
Dactyloidae,Anolis oxylophus,27.77,,54,,,,,
Dactyloidae,Anolis pentaprion,28,,1,Brattstrom 1965,,,,
Dactyloidae,Anolis poecilopus,26.5,,1,,,,,
Dactyloidae,Anolis polylepis,27.95,,32,,,,,
Dactyloidae,Anolis porcatus,31.9,,1,,,,,
Dactyloidae,Anolis princeps,27.4,,1,,,,,
Dactyloidae,Anolis proboscis,23.85,,2,,,,,
Dactyloidae,Anolis pulchellus,32.6,,NA,,,,,
Dactyloidae,Anolis punctatus,29.13,,96,All but Tb came from diele-vargas et al. 2018,,,,
Dactyloidae,Anolis quercorum,24.4,,1,,,,,
Dactyloidae,Anolis richardii,28.4,,39,,,,,
Dactyloidae,Anolis roquet,27.22,,508,,,,,
Dactyloidae,Anolis sagrei,32.01,,1013,Corn 1971,,,,
Dactyloidae,Anolis semilineatus,32.3,,23,,,,,
Dactyloidae,Anolis sericeus,32.8,,1,,,,,
Dactyloidae,Anolis smaragdinus,34.2,,1,,,,,
Dactyloidae,Anolis stratulus,28.4,,1,Heatwole et al. 1969,,,,
Dactyloidae,Anolis subocularis,31.4,,13,,,,,
Dactyloidae,Anolis taylori,29,,58,,,,,
Dactyloidae,Anolis townsendi,30.9,,1,,,,,
Dactyloidae,Anolis transversalis,27.3,,9,Tsel came from diele-vargas et al. 2018,,,,
Dactyloidae,Anolis tropidogaster,27.6,,,Ballinger et al. 1970,,,,
Dactyloidae,Anolis uniformis,27.9,,1,"Lara-Resendiz, & Diaz de la Vega 2013",,,,
Dactyloidae,Anolis ventrimaculatus,12.52,,,,,,,
Elapidae,Austrelaps superbus,,,,"within Sunday 2011 (not found in Sunday), Spellerberg 1972 (did not find species in paper)",,,,
Scincidae,Bellatorias major,33.8,,,Johnson 1977,,,,
Blanidae,Blanus cinereus,23.6,,,Lopez et al 1998,,,,
Scincidae,Brasiliscincus agilis,32.6,,,"Rocha et al. 2002 (Tb = 34.5 ñ 2.2øC , N = 6); Hatano et al. 2001 (Tb 33.3 ñ 3.2oC (N = 6)); Vrcibradic and Rocha 2002 (Tb 33.1ñ2.4øC; N = 50)",,,,
Gerrhosauridae,Broadleysaurus major,31.8,,,Hallman et al. 1990,,,,
Phrynosomatidae,Callisaurus draconoides,38.9,,,"within Sunday 2011 (not found in Sunday); Brattstrom 1965 (Tb 38.0øC, N= 17+); Cunningham 1966 (Tb 39.4øC, N = 15); Bulova 1994 (Tb 38.2øC) ; Karasov and Anderson 1998 (could not find in drive); Packard and Packard 1970 (used median because left skew data, Tb 39.2øC, N = 79) ; Pianka and Parker 1972 (could not find in drive)",,,,
Teiidae,Callopistes maculatus,36.9,,,Hallman et al. 1990,,,,
Agamidae,Calotes versicolor,27.5,,,Shanbhag 2003,,,,
Scincidae,Carinascincus coventryi,30.1,,,Greer 1980,,,,
Scincidae,Carinascincus metallicus,35.4,,,"within Sunday 2011; Chapple and Swain 2004 (could not find 35.4, body temperatures ranged from 30.1 to 31.9, but were in manmade environments, no field body temp)",,,,
Scincidae,Chalcides ocellatus,31.8,,,Daut and Andrews 1993,,,,
Chamaeleonidae,Chamaeleo africanus,24.7,,,Dimaki et al 2000,,,,
Chamaeleonidae,Chamaeleo calyptratus,32.9,,,Zari 1993,,,,
Chamaeleonidae,Chamaeleo chamaeleon,29.8,,,"Dimaki et al 2000, Al-Johany 1996",,,,
Chamaeleonidae,Chamaeleo namaquensis,32.2,,,"Brattstrom 1965 (Tb 33.5øC, N = 27), Burrage 1973 (active Tpref 29.3øC, range of 18.5-36.2, N = 18) : [also mention/cite Stebbins 1961 mean Tpref 33.5, range of 28.5-36.5 for 27 records of 2 individuals][in Burrage 1973, also mention resting lab temp at 25.0-29.7, mean Tb 28.7øC]",,,,
Agamidae,Chlamydosaurus kingii,36.7,,,Christian and Bedford 1995,,,,
Sphaerodactylidae,Coleodactylus septentrionalis,27.4,0.21,50,Vitt et al. 2005,,,,
Eublepharidae,Coleonyx elegans,23.8,,,Dial and Grismer 1992,,,,
Eublepharidae,Coleonyx mitratus,25.3,,,Angilletta and Werner 1998,,,,
Eublepharidae,Coleonyx variegatus,26.8,,,"Brattstrom 1965 (Tb 24.7øC, N = 17+)* Tsel cut from Brattstrom in Huey et al 1989. Listed as 31.1. Double check with original paper",,,,
Iguanidae,Conolophus pallidus,35.3,,,"Brattstrom 1965 (Tb 33.8øC, N = Many), Christian et al. 1983 (body temp dependent on season [sig different] Garua season: Tb mean 32.2ñ1.35, vs Hot ( or Fall [not sig different] )season Tb mean 36.6ñ1.25",,,,
Scincidae,Corucia zebrata,31.2,,30,diele-vargas et al. 2018,,,,
Agamidae,Ctenophorus nuchalis,39.8,,,"Heatwole 1970 (Amphibolurus inermis [cites 36.1øC as mean Tb from Pianka and Pianka 1970]), Licht et al 1966 (referred to as Amphibolurus in Qu database)",,,,
Diplodactylidae,Diplodactylus conspicillatus,31,,,"Light et al. 1966 (Tb 34.3øC, SD = 4.56, N=3), Pianka and Pianka 1976 (27.7, 0.51, N = 50)",,,,
Eublepharidae,Eublepharis macularius,27.7,,,"Angilletta and Werner 1998, Werner et al. 2006",,,,
Sphaerodactylidae,Gonatodes annularis,,,,Diele-Viegas et al. (2017),,,,
Lacertidae,Heliobolus spekii,36.8,,,Bowker 1984,,,,
Diplodactylidae,Hesperoedura reticulata,29.4,,,Angilletta and Werner 1998,,,,
Lacertidae,Latastia longicaudata,37.8,,,Bowker 1984,,,,
Colubridae,Masticophis lateralis,30.6,,2+,Brattstrom 1965,,,,
Gymnophthalmidae,Micrablepharus maximiliani,19.1,,4,Camacho_FE_2014 (can't find); diele-vargas et al. 2018 for Tb,,,,
Scincidae,Mochlus sundevallii,32.7,,,Bowker 1984,,,,
Carphodactylidae,Nephrurus levis,19.2,,,"Light et al. 1966 (did not find Tb data for species), Pianka and Pianka 1976",,,,
Gymnophthalmidae,Nothobachi ablephara,,,,Camacho_FE_2014,,,,
Diplodactylidae,Oedura marmorata,31.9,,,Angilleta and Werner 1998,,,,
Phrynosomatidae,Phrynosoma coronatum,35.4,,28+,Brattstrom 1965,,,,
,Phrynosoma platyrhinos,36,,,Brattstrom 1965,,,,
Phrynosomatidae,Phrynosoma coronatum,35.3,,28+,Cowles & Bogert 1944; Brattstrom 1965; Cunningham 1966; Pianka and Parker 1975,,,,
Phyllodactylidae,Phyllodactylus reissii,29.8,,,Angilletta and Werner 1998,,,,
Gymnophthalmidae,Psilops paeminosus,,,,Camacho_FE_2014,,,,
Diplodactylidae,Rhynchoedura ornata,30.7,,,"Lght et al. 1966, Pianka and Pianka 1976",,,,
Iguanidae,Sauromalus ater,37.1,,,"Brattstrom 1965 (Tb 37.9øC, N = Many, listed as Sauromalus obesus), Cowles & Boggert 1944, Muchlinski (Tb 36.4øC from Muchlinski 1989, listed as Sauromalus obesus), Estany and Don 1994",,,,
Phrynosomatidae,Sceloporus bicanthalis,30.6,,,Andrews 1998,,,,
Phrynosomatidae,Sceloporus gadoviae,35.1,,,Andrews 1998,,,,
Phrynosomatidae,Sceloporus horridus,,,,Andrews 1998,,,,
Phrynosomatidae,Sceloporus malachiticus,32.3,,,within Sunday 2011 (not found in Sunday); van berkum 1988,,,,
Phrynosomatidae,Sceloporus mucronatus,29.2,,,Andrews 1998 (Tb could not find in the source); Sinervo et al. 2010,,,,
Phrynosomatidae,Sceloporus occidentalis,32.9,,,"within Sunday 2011 (not found in Sunday); van berkum 1988 (32.9, 34.2, 35.9, 33.4,as Tb dependent on elevations with different errors and N)",,,,
Phrynosomatidae,Sceloporus ochoteranae,33.7,,,Andrews 1998,,,,
Phrynosomatidae,Sceloporus poinsettii,32.7,,,Bogert 1949 (couldn't find Tb); Sinervo et al. 2010,,,,
Phrynosomatidae,Sceloporus scalaris,34.9,,,Mathies & Andrews 1995; Andrews 1998 (32.6),,,,
Phrynosomatidae,Sceloporus variabilis,34.3,,,"within Sunday 2011 (not found in Sunday); van berkum 1988 (36.9, 35.4, 34.4 Tb, error = 1.5, 1.3, 3.8, N = 38, 72, 135)",,,,
Phrynosomatidae,Sceloporus virgatus,34,,,Smith and Ballinger 1994,,,,
Scincidae,Scelotes gronovii,23,1.4,6,Withers 1981,,,,
Scincidae,Scincella lateralis,28.5,,16,Brattstrom 1965,,,,
Gymnophthalmidae,Scriptosaura catimbau,,,,Camacho_FE_2014,,,,
Sphaerodactylidae,Sphaerodactylus gaigeae,27.8,,,within Sunday 2011 (not found in Sunday); Alvarez 1992(can't find Alvarez paper),,,,
Sphaerodactylidae,Sphaerodactylus grandisquamis,29.3,,,within Sunday 2011 (not found in Sunday); Alvarez 1992(can't find Alvarez paper),,,,
Sphaerodactylidae,Sphaerodactylus klauberi,24.2,,,within Sunday 2011; Alvarez 1992(can't find Alvarez paper),,,,
Sphaerodactylidae,Sphaerodactylus nicholsi,,,,within Sunday 2011 (not found in Sunday); Alvarez 1992(can't find Alvarez paper),,,,
Sphaerodactylidae,Sphaerodactylus roosevelti,32.8,,,within Sunday 2011 (not found in Sunday); Alvarez 1992 (can't find Alvarez paper),,,,
Sphaerodactylidae,Sphaerodactylus townsendi,31,,,within Sunday 2011 (not found in Sunday); Alvarez 1992 (can't find Alvarez paper),,,,
Scincidae,Sphenomorphus incognitus,,,,Yuan et al. 2016,,,,
Scincidae,Sphenomorphus indicus,28.8,,,"Yuan et al. 2016; Tsel data are from Ji et al. 1996, cited in Du et al. 2006 (b/c Ji paper impossible to download); (Du data is about preferred body temperature)",,,,
Scincidae,Sphenomorphus sabanus,25.8,0.26,16,Inger 1959 (cited in Du et al. 2006),SE,,,
Scincidae,Sphenomorphus taiwanensis,,,,Huang et al. 2006,,,,
Tropiduridae,Stenocercus festae,28.11,5.47,27,Andrango et al. 2016,SE,,,
Colubridae,Storeria occipitomaculata,26.3,,2,Brattstrom 1965,,,,
Diplodactylidae,Strophurus spinigerus,29.5,,,"Light et al. 1966 (Tb 35.9, SD = 2.62, N = 9, listed as D. spinigerus ), Angilletta and Werner 1998 (23.1 in the morning, 16 at night, error is 1.23 in the morning, error is 0.98 at night, n =14 in the morning, n =3 at night",,,,
Lacertidae,Takydromus formosanus,,,,Huang & Tu 2008,,,,
Lacertidae,Takydromus hsuehshanensis,,,,Huang & Tu 2008,,,,
Lacertidae,Takydromus sexlineatus,,,,Zhang and Ji 2004,,,,
Lacertidae,Takydromus stejnegeri,,,,Huang & Tu 2008,,,,
Phyliodactylidae,Tarentola boettgeri,24.02,,83,"Brown 1996 Herpetologica. Tb is median, so no meas. err.",,,,
Lacertidae,Teira dugesii,35,,,"Crisp, Cook, and Hereward 1979",,,,
Colubridae,Thamnophis marcianus,,,,Doughty 1994,,,,
Colubridae,Thamnophis melanogaster,,,,Doughty 1994,,,,
Colubridae,Thamnophis ordinoides,29,,,Stewart 1965,,,,
Colubridae,Thamnophis sirtalis,25.6,,,Stewart 1965,,,,
Scincidae,Tiliqua occipitalis,32.7,0.21,4,Light et al. 1966,,,,
Scincidae,Tiliqua scincoides,32.9,,,"Heatwole et al 1973; Christian et al. 2003 (seems to be about Optical Transient Detector, no mention of T. scincoides)",,,,
Scincidae,Trachylepis capensis,,,,Withers 1981,,,,
Scincidae,Trachylepis perrotetii,33.8,,,Ortega et al. 1991,,,,
Gymnophthalmidae,Tretioscincus agilis,,,,diele-vargas et al. 2018,,,,
Viperidae,Trimeresurus gracilis,,,,Huang et al. 2007; within Sunday et al. 2011(not found in Sunday),,,,
Viperidae,Trimeresurus stejnegeri_stejnegeri,,,,Huang et al. 2007; within Sunday et al. 2011(not found in Sunday),,,,
Tropiduridae,Tropidurus hygomi,35.4,,,Kohlsdorf and Navas 2006,,,,
Tropiduridae,Tropidurus psammonastes,37.6,,,Van Sluys 2004,,,,
Scincidae,Typhlacontais brevipes,30.8,,,Withers 1981,,,,
Phrynosomatidae,Uma exsul,35.5,,,Sinervo et al 2010,,,,
Agamidae,Uromastyx ornata,36.5,,,Zari 1996,,,,
Phrynosomatidae,Urosaurus graciosus,37.6,,,Vitt et al. 1981,,,,
Gymnophthalmidae,Vanzosaurua rubricauda,,,,Camacho_FE_2014,,,,
Varanidae,Varanus bengalensis,33.1,,,Wikramanayake and Dryden 1993,,,,
Varanidae,Varanus exanthematicus,34.6,,,Bowker 1984; Wood et al. 1978; Don et al. 1994,,,,
Varanidae,Varanus giganteus,37.1,,,"Pianka 1982; King, Green, and Butler 1989",,,,
Varanidae,Varanus gilleni,3.4,,,Pianka 1982,,,,
Varanidae,Varanus indicus,30.3,,,"Smith, Christian, and Green 2008",,,,
Varanidae,Varanus komodoensis,38,,,McNab and Auffenberg 1976,,,,
Varanidae,Varanus niloticus,30.4,,,Bowker 1984; Hirth and Latif 1979,,,,
Varanidae,Varanus panoptes,36.4,,,Christian and Weaver 1996,,,,
Varanidae,Varanus rosenbergi,35,,8,Christian and Weaver 1994,,,,
Varanidae,Varanus scalaris,38.9,,,Christian and Bedford 1995,,,,
,Anolis attenuatus,21.5,,1,,,,,
,Anolis chocorum,,,,,,,,
Dactyloidae,Anolis tandai,,,,,,,,
Teiidae,Aspidoscelis sexlineata,39.3,,,"Brattstrom 1965 (Tb = 40.4øC, N= Many); Bogert 1949 (Tb = 41.0ñ0.47 (?? seems like error of ~2.5?), N = 12), listed as Cnemidophorus sexlineatus; Schall 1977 (couldn't find Tb); Bostic1966 (covers reproductive organs, no Tb found); Paulissen 1988 (see line 165); Witz 2001 (Oklahoma Tb = 38.5ñ0.314øC, N = 425) (Florida Tb = 36.6ñ1.26, N=22)",,,,
Teiidae,Aspidoscelis sexlineatus,,,,"Paulissen 1988 (adult Tb = 36.8ñ1.93øC, N = 10) (juvenile Tb = 37.1ñ1.55, N=10)",,,,
,Gerrhonotus multicarinatus,,,,Bennett 1980,,,,
,Lacerta monticola,33.5,,,Bauwens et al. 1995; Van Damme et al. 1991,,,,
,Leiolopisma guichenoti,,,,Spellerberg 1972,,,,
,Liolaemus nigromaculatus,34.08,0.46,6,Labra (2009) AmNat,SE,,,
,Liolaemus nigroroseus,33.89,0.72,8,Labra (2009) AmNat,SE,,,
Liolaemidae,Liolaemus nigroviridis,35.49,0.1,411,Labra (2009) AmNat,SE,,,
Xenosauridae,Xenosaurus grandis,24.2,,,Ballinger et al. 1995; Lemos-Espinal et al. 2003,,,,
Xeenosauridae,Xenosaurus platyceps,24.6,,,Lemos-Espinal and Smith 2005,,,,
Dactyloidae,Anolis poncensis,,,,,,,,
Dactyloidae,Anolis singularis,,,,,,,,
Dactyloidae,Anolis valencienni,,,,,,,,
Scincidae,Anomalopus brevicollis,,,,Greer 1980,,,,
Scincidae,Anomalopus leuckartii,,,,Greer 1980,,,,
Scincidae,Calyptotis temporalis,,,,Greer 1980,,,,
Scincidae,Carlia longipes,,,,Greer 1980,,,,
Scincidae,Carlia munda,,,,Greer 1980,,,,
Scincidae,Carlia pectoralis,,,,Greer 1980,,,,
Scincidae,Lygisauris foliorum (appears as Carlia folorium),,,,Greer 1980,,,,
,Pedioplanis lineoocellata,,,,Stebbins 1961,,,,
Scincidae,Trachylepis varia,28,,,Hebrard and Guppy 1982,,,,
,Trioceros schubotzi,22.2,,,Bennett 2004,,,,
Phrynosomatidae,Uta antiqua,35.6,,,"Brattstrom 1965 (Tb = 35.4øC, N=167+, listed as Uta stansburiana); Cunningham 1966; Soul‚ 1963; Ferguson 1971 (tb= 38, n= 25) ; Parker and Pianka 1975; Waldschmidt and Tracy 1983; Cole 1943",,,,
Varanidae,Varanus caudolineatus,37.3,,,Pianka 2010,,,,
Liolaemidae,Liolaemus gracilis,40.8,,,"Espinoza, Wiens, and Tracy 2004",,,,
Agamidae,Ctenophorus isolepis,40.7,,,Pianka 1971,,,,
Sphaerodactylidae,Pristurus carteri,38.9,,,Arnold 1993,,,,
Agamidae,Ctenophorus cauicinctus,38.6,,,Litch et al. 1966,,,,
Iguanidae,Cyclura nubila,38.6,,,Christian et al 1986,,,,
Scincidae,Ctenotus leonhardii,38,,,Pianka 1969,,,,
Phrynosomatidae,Holbrookia propinqua,37.9,,,Judd 1975,,,,
Teiidae,Pholidoscelis exsul,37.73,0.23,89,Gifford et al. 2012 J. Th. Biol.; Took central value of Tsel range to get Tpref.,SE,,,
Scincidae,Ctenotus leae,37.7,,,Pianka 1969,,,,
Liolaemidae,Liolaemus cuyanus,37.7,,,"Cruz et al. 2005; Espinoza, Wiens, and Taylor 2004",,,,
Phrynosomatidae,Sceloporus graciosus,37.5,,,"Brattstrom 1965 (Tb 34.9øC, N = 5); Sunday et al. 2014; Mueller 1969",,,,
Liolaemidae,Liolaemus grosseorum,37.3,,,"Espinoza, Wiens, and Tracy 2004",,,,
Teiidae,Pholidoscelis taeniurus,37.2,,,Sproston et al. 1999,,,,
Teiidae,Pholidoscelis chrysolaemus,37.1,,,Schell et al. 1993; Sproston et al. 1999,,,,
Varanidae,Varanus gouldii,37,,,"Warburg 1965; Light et al. 1966 (Tb = 37.1, SD = 1.87, N = 6); Pianka 1982; King 1980; Christian and Weavers 1996 (35.1)",,,,
Liolaemidae,Liolaemus tenuis,36.82,0.44,10,Labra (2009) AmNat,SE,,,
Liolaemidae,Liolaemus monticola,36.72,0.35,13,Labra (2009) AmNat,SE,,,
Opluridae,Oplurus cuvieri,36.7,,,Randriamahazo and Mori 2004; Herilala and Mori 2001,,,,
Scincidae,Scincus mitranus,36.7,,,Al-Johany et al. 1999,,,,
Liolaemidae,Liolaemus melanops,36.6,,,"Cruz et al. 2005; Espinoza, Wiens, and Tracy 2004",,,,
Liolaemidae,Liolaemus robertmertensi,36.6,,,"Cruz et al. 2005; Espinoza, Wiens and Tracy 2004",,,,
Liolaemidae,Liolaemus rothi,36.6,,,"Cruz et al. 2005; Espinoza, Wiens and Tracy 2004",,,,
Iguanidae,Conolophus subcristanus,36.5,,,Snell and Christian 1985,,,,
Phrynosomatidae,Uma scoparia,36.5,,,"Brattstrom 1965 (Tb = 35.7øC, N = 13+); Pianka and Parker 1975",,,,
Varanidae,Varanus griseus,36.5,,,King 1980; Ibrahim 2002,,,,
Liolaemidae,Liolaemus wiegmannii,36.46,3.16,65,Stellatelli et al. (2013) J. Th. Biol.,SD,,,
Phrynosomatidae,Cophosaurus texanus,36.4,,,"Bashley & Dunham 1997; Brattstrom 1965 (Tb 37.1øC, N=6); Bulova 1994",,,,
Crotaphytidae,Crotaphytus collaris,36.4,,,"Brattstrom 1965 (Tb 37.2øC, N = 425+), Cole 1943, Firth at al. 1980, Uzee 1990, Angert et al. 2002",,,,
Scincidae,Ctenotus regius,36.4,,,Bennett AF & Johnalder H (1986) ; Huey and Bennett 1987,,,,
Liolaemidae,Liolaemus darwinii,36.4,,,"Cruz et al. 2005; Espinoza, Wiens and Tracy 2004",,,,
Leiocephalidae,Leiocephalus schreibersii,36.3,,,Marcellini and Jenssen 1989,,,,
Liolaemidae,Liolaemus multimaculatus,36.28,1.41,34,Cruz et al. 2005; Tsel and Tb: Stellatelli et al. (2013) J. Th. Biol.,SD,,,
Scincidae,Ctenotus inornatus,36.2,,,Pough et al. 1997,,,,
Liolaemidae,Liolaemus scapularis,36.2,,,"Cruz et al. 2005; Espinoza, Wiens and Tracy 2004",,,,
Teiidae,Pholidoscelis fuscatus,36.1,,,Brooks 1968,,,,
Lacertidae,Eremias argus,36,,,Laigao et al. (2006) Acta Zool Sinica; Li et al. 2009,,,,
Tropiduridae,Microlophus quadrivittatus,36,,,Catenazzi et al. 2005,,,,
Phrynosomatidae,Holbrookia maculata,35.9,,,"Hager 2001; Brattstrom 1965 (Tb = 37.8øC, N = 3); Jones and Ballinger 1987",,,,
Liolaemidae,Liolaemus dicktracyi,35.9,,,"Espinoza, Wiens, and Tracy 2004",,,,
Liolaemidae,Liolaemus laurenti,35.9,,,"Cruz et al. 2005; Espinoza, Wiens and Tracy 2004",,,,
Phrynosomatidae,Petrosaurus thalissinus,35.8,,,"Brattstrom 1965 (35.6øC, N = 22, listed as Uta thalassina); Soul‚ 1963",,,,
Phrynosomatidae,Sceloporus consobrinus,35.8,,,Bogert 1949,,,,
Liolaemidae,Liolaemus boulengeri,35.7,,,"Cruz et al. 2005; Espinoza, Wiens and Tracy 2004",,,,
Liolaemidae,Liolaemus uspallatensis,35.7,,,"Espinoza, Wiens and Tracy 2004",,,,
Scincidae,Ctenotus calurus,35.6,,,Pianka 1969,,,,
Phrynosomatidae,Urosaurus ornatus,35.6,,,"Lowe & Vance 1955; Brattstrom 1965 (Tb = 35.5øC, N=97); Vitt et al. 1981 (from 34.53 to 37.47 C, N= 224); Smith and Ballinger 1995",,,,
Scincidae,Ctenotus piankai,35.5,,,Pianka 1969,,,,
Liolaemidae,Liolaemus irregularis,35.5,,,"Cruz et al. 2005; Espinoza, Wiens, and Tracy 2004",,,,
Liolaemidae,Liolaemus koslowskyi,35.5,,,"Cruz et al. 2005; Espinoza, Wiens and Tracy 2004",,,,
Phrynosomatidae,Phrynosoma platyrhinos,35.5,,,"Cole 1943; Pianka and Parker 1975; Brattstrom 1965 (Tb = 36.0øC, N=?)",,,,
Phrynosomatidae,Sceloporus grandaevus,35.5,,,Soul‚ 1963,,,,
Phrynosomatidae,Sceloporus magister,35.5,,,"Brattstrom 1965 (Tb 34.8øC, N = Many); Andrews 1998; (Tb = 36.8 and 34.9 in different elevations) Vitt et al 1981 (Tb 35.63
to 36.76C, N = 129); Parker and Pianka 1973",,,,
Varanidae,Varanus varius,35.5,,,"within Sunday 2011 (data not found), Spellerberg 1972; Stebbins and Barwick 1968",,,,
Liolaemidae,Liolaemus nitidus,35.43,0.33,12,Labra (2009) AmNat,SE,,,
Lacertidae,Eremias multiocellata,35.4,,,Li et al 2009,,,,
Scincidae,Ctenotus taeniolatus,35.3,,,Bennett AF & Johnalder H (1986) ; Huey and Bennett 1987,,,,
Scincidae,Ctenotus uber,35.3,,,Bennett AF & Johnalder H (1986); Huey and Bennett (1987),,,,
Lacertidae,Eremias brenchleyi,35.3,,,"Xu, Chen, Ji (2001) Zool. Research; Huey et al. 2009 - might be plestiodon now; Li et al 2009; Xu and Ji 2006",,,,
Phrynosomatidae,Phrynosoma douglassii,35.3,,,Prieto&Whitford 1971; Brattstrom 1965 (did not find Tb in here); Pianka and Parker 1975; Christian 1998; Powell and Russell 1985,,,,
Phrynosomatidae,Urosaurus nigricaudus,35.3,,,"Brattstrom 1965 (Tb = 36.2øC, N = 14); Soul‚ 1963",,,,
Lacertidae,Podarcis siculus,35.2,,,Avery 1978,,,,
Phrynosomatidae,Sceloporus olloporus,35.2,,,"Brattstrom 1965 (Tb 35.4øC, N=72, listed as Sceloporus v. olloporus); Bogert 1949 (couldn't find Tb); van Berkum 1988",,,,
Liolaemidae,Liolaemus lemniscatus,35.12,0.42,25,Labra (2009) AmNat,SE,,,
Scincidae,Ctenotus atlas,35,,,Pianka 1969,,,,
Liolaemidae,Liolaemus austromendocinus,35,,,"Espinoza, Wiens, and Tracy 2004",,,,
Teiidae,Salvator merrianae,35,,,"Ceccetto et al. (2015) J. Th. Biol. Avaerage in paper is for males and females, but very similar for both; Vitt et al. 1995",,,,
